COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,762101294,761105158,,39959,36701,762101294,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 1 DIMACHENI,GRADINITA CU PROGRAM NORMAL NR 1 DIMACHENI,DIMĂCHENI,DIMACHENI,,
,762102987,761105366,,39738,39756,762102987,BOTOŞANI,,,,SCOALA GIMNAZIALA NR. 2 BREHUIESTI,SCOALA GIMNAZIALA NR 2 BREHUIESTI,BREHUIEŞTI,,,
,762103581,761104496,,38893,38955,762103581,BOTOŞANI,,,,SCOALA PRIMARA NR. 6 ILISENI,SCOALA PRIMARA NR 6 ILISENI,ILIŞENI,,,
,762102182,761104311,,38580,38606,762102182,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 3 CIMPENI,GRADINITA CU PROGRAM NORMAL NR 3 CIMPENI,CÂMPENI,,,
,762101986,761105425,,39792,39809,762101986,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 1 VLASINESTI,GRADINITA CU PROGRAM NORMAL NR 1 VLASINESTI,VLĂSINEŞTI,,,
26016850,761104564,,388696,36952,36961,761104564,BOTOŞANI,,,,"""SCOALA GIMNAZIALA """"IOAN MURARIU’’ CRISTINESTI""",SCOALA GIMNAZIALA IOAN MURARIU CRISTINESTI,CRISTINEŞTI,CRISTINESTI,,
25011730,761104302,,388373,36649,36658,761104302,BOTOŞANI,,,,SCOALA GIMNAZIALA NR 1 CORDARENI,SCOALA GIMNAZIALA NR 1 CORDARENI,CORDĂRENI,CORDARENI,,
,762100768,761104917,,36569,36612,762100768,BOTOŞANI,,,,SCOALA PRIMARA NR 2 COTU COPALAU,SCOALA PRIMARA NR 2 COTU COPALAU,COTU,COTU,,
,762102404,761105298,,37958,38009,762102404,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL LIVENI NR 2 MANOLEASA,GRADINITA CU PROGRAM NORMAL LIVENI NR 2 MANOLEASA,LIVENI,LIVENI,,
,762100379,761104772,,38063,38116,762100379,BOTOŞANI,,,,"""SCOALA GIMNAZIALA """"PETRU RARES"""" CERVICESTI""",SCOALA GIMNAZIALA PETRU RARES CERVICESTI,CERVICEŞTI,CERVICESTI,,
