COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,362102229,361104335,,19141,19150,362102229,ARGEŞ,,,,ŞCOALA PRIMARĂ NR.1,SCOALA PRIMARA NR 1,ŞUICI,,,
29487940,361103343,,331035,13169,13178,361103343,ARGEŞ,,,6,"""ȘCOALA GIMNAZIALĂ """"ION PILLAT"""" PITEȘTI""",SCOALA GIMNAZIALA ION PILLAT PITESTI,PITEŞTI,RAHOVEI,,
4469531,361103438,,335578,19212,19221,361103438,ARGEŞ,,,502,"""ȘCOALA GIMNAZIALĂ """"VLADIMIR STREINU"""" TEIU""",SCOALA GIMNAZIALA VLADIMIR STREINU TEIU,TEIU,PRINCIPALĂ,,
4543956,361104285,,333581,16506,16515,361104285,ARGEŞ,,,74,"""ȘCOALA GIMNAZIALĂ """"GEORGE MARINESCU"""" DRĂGANU""",SCOALA GIMNAZIALA GEORGE MARINESCU DRAGANU,DRĂGANU-OLTENI,PRINCIPALĂ,,
,362100489,361104475,,15448,15457,362100489,ARGEŞ,,,1,ȘCOALA PRIMARĂ NICOLEȘTI,SCOALA PRIMARA NICOLESTI,CICĂNEŞTI,PRINCIPALĂ,,
5010064,361104308,,331426,13490,13506,361104308,ARGEŞ,,,27,"""ȘCOALA GIMNAZIALĂ """"NANU MUSCEL"""" CÂMPULUNG""",SCOALA GIMNAZIALA NANU MUSCEL CAMPULUNG,CÂMPULUNG,FRAŢII GOLEŞTI,,
,362102505,361100272,,18331,18340,362102505,ARGEŞ,,,,GRĂDINIŢA CU PROGRAM NORMAL TIGVENI,GRADINITA CU PROGRAM NORMAL TIGVENI,RĂTEŞTI,,,
4122418,361103881,,334743,18028,18037,361103881,ARGEŞ,,,558,ȘCOALA GIMNAZIALĂ NR. 1 POIANA LACULUI,SCOALA GIMNAZIALA NR 1 POIANA LACULUI,POIANA LACULUI,PRINCIPALĂ,,
29382260,361104362,,332862,15402,15411,361104362,ARGEŞ,,,112,ȘCOALA GIMNAZIALĂ NR. 1 CETĂȚENI,SCOALA GIMNAZIALA NR 1 CETATENI,CETĂŢENI,NEGRU VODĂ,,
29428251,361103664,,966164,14405,14414,361103664,ARGEŞ,,,480,ŞCOALA GIMNAZIALĂ MIHAI TICAN RUMANO BEREVOEȘTI,SCOALA GIMNAZIALA MIHAI TICAN RUMANO BEREVOESTI,BEREVOEŞTI,PRINCIPALĂ,,
