COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,1762104177,1761101405,,75098,75105,1762104177,GALAŢI,,,7,"""GRADINITA CU PROGRAM NORMAL NR.26"," LOCALITATEA GALATI""",GRADINITA CU PROGRAM NORMAL NR 26 LOCALITATEA GALATI,GALAŢI,DR.CARNABEL,
23631558,1761100173,,495877,75917,75926,1761100173,GALAŢI,,,,"""SCOALA GIMNAZIALA """"GEORGE IVASCU"""""," COMUNA CERTESTI""",SCOALA GIMNAZIALA GEORGE IVASCU COMUNA CERTESTI,CERŢEŞTI,,
4298563,1761100883,,1135149,75098,75105,1761100883,GALAŢI,,,2C,"""GRADINITA CU PROGRAM PRELUNGIT """"MOTANUL INCALTAT"""""," LOCALITATEA GALATI""",GRADINITA CU PROGRAM PRELUNGIT MOTANUL INCALTAT LOCALITATEA GALATI,GALAŢI,COSTACHE CONACHI,
29095289,1761101215,,1135151,75098,75105,1761101215,GALAŢI,,,,"""GRADINITA CU PROGRAM PRELUNGIT """"CAMIL RESSU"""""," LOCALITATEA GALATI""",GRADINITA CU PROGRAM PRELUNGIT CAMIL RESSU LOCALITATEA GALATI,GALAŢI,CAMIL RESSU NR.1,
23683760,1761100164,,495554,75668,75677,1761100164,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.1"," COMUNA BALENI""",SCOALA GIMNAZIALA NR 1 COMUNA BALENI,BĂLENI,,
,1762102537,1761104435,,77126,77135,1762102537,GALAŢI,,,,"""SCOALA PRIMARA NR.1"," COMUNA SCANTEIESTI""",SCOALA PRIMARA NR 1 COMUNA SCANTEIESTI,SCÂNTEIEŞTI,,
,1762103773,1761101328,,75356,75409,1762103773,GALAŢI,,,,"""SCOALA GIMNAZIALA """"STROE S. BELLOESCU""""", SAT PLESA," COMUNA BERESTI-MERIA""",SCOALA GIMNAZIALA STROE S BELLOESCU SAT PLESA COMUNA BERESTI MERIA,PLEŞA,
29075869,1761100942,,777964,75098,75105,1761100942,GALAŢI,,,33,"""GRADINITA CU PROGRAM PRELUNGIT NR.36"," LOCALITATEA GALATI""",GRADINITA CU PROGRAM PRELUNGIT NR 36 LOCALITATEA GALATI,GALAŢI,REGIMENT 11 SIRET,
,1762102487,1761100874,,75819,75837,1762102487,GALAŢI,,,,"""SCOALA GIMNAZIALA """"SMARANDA BRAIESCU""""", SAT HANTESTI," COMUNA BUCIUMENI""",SCOALA GIMNAZIALA SMARANDA BRAIESCU SAT HANTESTI COMUNA BUCIUMENI,HĂNŢEŞTI,
,1762100309,1761100042,,76004,76022,1762100309,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT MACISENI," COMUNA CORNI""",GRADINITA CU PROGRAM NORMAL NR 1 SAT MACISENI COMUNA CORNI,MĂCIŞENI,
21231245,1761100458,,496091,76175,76184,1761100458,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.1"," COMUNA DRAGUSENI""",SCOALA GIMNAZIALA NR 1 COMUNA DRAGUSENI,DRĂGUŞENI,,
,1762101961,1761101296,,76996,77000,1762101961,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.2"," COMUNA PISCU""",GRADINITA CU PROGRAM NORMAL NR 2 COMUNA PISCU,PISCU,,
,1762102234,1761101251,,77180,77215,1762102234,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.1", SAT IZVOARELE," COMUNA SLOBOZIA CONACHI""",SCOALA GIMNAZIALA NR 1 SAT IZVOARELE COMUNA SLOBOZIA CONACHI,IZVOARELE,
,1762103018,1761101016,,75953,75999,1762103018,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT CARAPCESTI," COMUNA COROD""",GRADINITA CU PROGRAM NORMAL NR 1 SAT CARAPCESTI COMUNA COROD,CĂRĂPCEŞTI,
,1762102496,1761104652,,76692,76709,1762102496,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.2"," COMUNA MATCA""",SCOALA GIMNAZIALA NR 2 COMUNA MATCA,MATCA,,
,1762102998,1761100232,,77288,77297,1762102998,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1"," COMUNA SUCEVENI""",GRADINITA CU PROGRAM NORMAL NR 1 COMUNA SUCEVENI,SUCEVENI,,
,1762103687,1761104349,,76718,76727,1762103687,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1"," COMUNA MASTACANI""",GRADINITA CU PROGRAM NORMAL NR 1 COMUNA MASTACANI,MĂSTĂCANI,,
29075451,1761101156,,1155084,75098,75105,1761101156,GALAŢI,,,1A,"""SCOALA GIMNAZIALA """"SFANTUL GRIGORIE TEOLOGUL"""""," LOCALITATEA GALATI""",SCOALA GIMNAZIALA SFANTUL GRIGORIE TEOLOGUL LOCALITATEA GALATI,GALAŢI,01.dec.18,
22581923,1761104435,,497069,77126,77144,1761104435,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.1", SAT FANTANELE," COMUNA SCANTEIESTI""",SCOALA GIMNAZIALA NR 1 SAT FANTANELE COMUNA SCANTEIESTI,FÂNTÂNELE,
,1762101857,1761101572,,76585,76594,1762101857,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.2"," COMUNA INDEPENDENTA""",GRADINITA CU PROGRAM NORMAL NR 2 COMUNA INDEPENDENTA,INDEPENDENŢA,,
,1762103936,1761101061,,75098,75105,1762103936,GALAŢI,,,130,"""GRADINITA CU PROGRAM NORMAL NR.10"," LOCALITATEA GALATI""",GRADINITA CU PROGRAM NORMAL NR 10 LOCALITATEA GALATI,GALAŢI,A.SALIGNY,
21886075,1761100205,,496168,76255,76264,1761100205,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.1"," COMUNA FARTANESTI""",SCOALA GIMNAZIALA NR 1 COMUNA FARTANESTI,FÂRŢĂNEŞTI,,
,1762102008,1761100137,,76807,76834,1762102008,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.1", SAT COASTA LUPEI," COMUNA NICORESTI""",SCOALA GIMNAZIALA NR 1 SAT COASTA LUPEI COMUNA NICORESTI,COASTA LUPEI,
,1762103755,1761101328,,75356,75374,1762103755,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT ALDESTI," COMUNA BERESTI-MERIA""",GRADINITA CU PROGRAM NORMAL NR 1 SAT ALDESTI COMUNA BERESTI MERIA,ALDEŞTI,
21339094,1761100924,,496584,76692,76709,1761100924,GALAŢI,,,,"""SCOALA GIMNAZIALA NR.1"," COMUNA MATCA""",SCOALA GIMNAZIALA NR 1 COMUNA MATCA,MATCA,,
,1762100327,1761100042,,76004,76013,1762100327,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1"," COMUNA CORNI""",GRADINITA CU PROGRAM NORMAL NR 1 COMUNA CORNI,CORNI,,
13629810,1761101405,,492461,75098,75105,1761101405,GALAŢI,,,45,"""GRADINITA CU PROGRAM PRELUNGIT NR.7"," LOCALITATEA GALATI""",GRADINITA CU PROGRAM PRELUNGIT NR 7 LOCALITATEA GALATI,GALAŢI,UNIVERSITATII,
,1762103981,1761101079,,75203,75212,1762103981,GALAŢI,,,2,"""GRADINITA CU PROGRAM PRELUNGIT NR.15"," LOCALITATEA TECUCI""",GRADINITA CU PROGRAM PRELUNGIT NR 15 LOCALITATEA TECUCI,TECUCI,V.ALECSANDRI,
,1762103696,1761104349,,76718,76727,1762103696,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.3"," COMUNA MASTACANI""",GRADINITA CU PROGRAM NORMAL NR 3 COMUNA MASTACANI,MĂSTĂCANI,,
