COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,2962105417,2961101978,638182,136250,133447,2962105417,PRAHOVA,,,25,"""ȘCOALA PRIMARĂ", SAT FÂNARI," COMUNA OLARI""",SCOALA PRIMARA SAT FANARI COMUNA OLARI,FÂNARI,PRINCIPALĂ
,2962103858,2961102875,1104140,135501,135529,2962103858,PRAHOVA,,,133B,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT LOPATNIȚA," COMUNA ȘOIMARI""",GRADINITA CU PROGRAM NORMAL SAT LOPATNITA COMUNA SOIMARI,LOPATNIŢA,PRINCIPALĂ
,2962105177,2961100109,640044,136134,136152,2962105177,PRAHOVA,,,80A,"""ȘCOALA GIMNAZIALĂ", SAT COȚOFENEȘTI," COMUNA VĂRBILĂU""",SCOALA GIMNAZIALA SAT COTOFENESTI COMUNA VARBILAU,COŢOFENEŞTI,COȚOFENEȘTI
29170402,2961107057,,640422,130534,130543,2961107057,PRAHOVA,,,34,"""GRĂDINIȚA STEP BY STEP CU PROGRAM PRELUNGIT ȘI PROGRAM NORMAL """"RAZA DE SOARE"""""," MUNICIPIUL PLOIEȘTI""",GRADINITA STEP BY STEP CU PROGRAM PRELUNGIT SI PROGRAM NORMAL RAZA DE SOARE MUNICIPIUL PLOIESTI,PLOIEŞTI,Dediţel,
29055586,2961107292,,635568,133214,133223,2961107292,PRAHOVA,,,752,"""ȘCOALA GIMNAZIALĂ SPECIALĂ"," COMUNA FILIPEȘTII DE TÎRG""",SCOALA GIMNAZIALA SPECIALA COMUNA FILIPESTII DE TIRG,FILIPEŞTII DE TÂRG,PRINCIPALĂ,
2843647,2961101996,,638912,134559,134568,2961101996,PRAHOVA,,,1,"""ȘCOALA GIMNAZIALĂ"," COMUNA POIENARII BURCHII""",SCOALA GIMNAZIALA COMUNA POIENARII BURCHII,POIENARII BURCHII,GENERAL ALEXANDRU ANGELESCU,
,2962100801,2961101725,640812,130981,131041,2962100801,PRAHOVA,,,177,"""GRĂDINIȚA CU PROGRAM NORMAL ȚINTEA"," ORAȘUL BĂICOI""",GRADINITA CU PROGRAM NORMAL TINTEA ORASUL BAICOI,ŢINTEA,INDEPENDENȚEI,
,2962103103,2961102025,996780,134390,134407,2962103103,PRAHOVA,,,271A,"""GRĂDINIȚA CU PROGRAM NORMAL"," COMUNA PLOPU""",GRADINITA CU PROGRAM NORMAL COMUNA PLOPU,PLOPU,PRINCIPALĂ,
,2962100751,2961100249,640977,131256,131265,2962100751,PRAHOVA,,,10,"""GRĂDINIȚA CU PROGRAM NORMAL NR. 1"," MUNICIPIUL CÂMPINA""",GRADINITA CU PROGRAM NORMAL NR 1 MUNICIPIUL CAMPINA,CÂMPINA,PLEVNEI,
,2962105982,2961100181,1194949,135020,135119,2962105982,PRAHOVA,,,31,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT SICRITA," COMUNA RÎFOV""",GRADINITA CU PROGRAM NORMAL SAT SICRITA COMUNA RIFOV,SICRITA,PRINCIPALĂ
30651086,2961107048,,635946,130552,130561,2961107048,PRAHOVA,,,68,"""ȘCOALA GIMNAZIALĂ """"GHEORGHE LAZĂR"""""," COMUNA BĂRCĂNEȘTI""",SCOALA GIMNAZIALA GHEORGHE LAZAR COMUNA BARCANESTI,BĂRCĂNEŞTI,DN1,
,2962104868,2961102744,641139,131336,131354,2962104868,PRAHOVA,,,298,"""GRĂDINIȚA CU PROGRAM NORMAL NR. 2 GHIOȘEȘTI"," ORAȘUL COMARNIC""",GRADINITA CU PROGRAM NORMAL NR 2 GHIOSESTI ORASUL COMARNIC,GHIOŞEŞTI,GHIOȘEȘTI,
,2962104687,2961100326,638144,133429,133492,2962104687,PRAHOVA,,,16,"""ȘCOALA PRIMARĂ", SAT UNGURENI," COMUNA GHERGHIȚA""",SCOALA PRIMARA SAT UNGURENI COMUNA GHERGHITA,UNGURENI,PRINCIPALĂ
,2962103487,2961102111,643101,135789,135798,2962103487,PRAHOVA,,,832,"""GRĂDINIȚA CU PROGRAM NORMAL NR. 2"," COMUNA TELEGA""",GRADINITA CU PROGRAM NORMAL NR 2 COMUNA TELEGA,TELEGA,TELEGA,
24103313,2961202421,,1026,130534,130543,2961202421,PRAHOVA,,,14,"""ŞCOALA PRIMARĂ """"CĂSUȚA CU POVEȘTI"""" PLOIEȘTI""",SCOALA PRIMARA CASUTA CU POVESTI PLOIESTI,PLOIEŞTI,PETRE NEGULESCU,,
2843922,2961101508,,636562,131256,131265,2961101508,PRAHOVA,,,104,"""ȘCOALA GIMNAZIALĂ """"ALEXANDRU IOAN CUZA"""""," MUNICIPIUL CÂMPINA""",SCOALA GIMNAZIALA ALEXANDRU IOAN CUZA MUNICIPIUL CAMPINA,CÂMPINA,CAROL I,
29012321,2961102355,,639502,135404,135413,2961102355,PRAHOVA,,,229,"""ȘCOALA GIMNAZIALĂ"," COMUNA SURANI""",SCOALA GIMNAZIALA COMUNA SURANI,SURANI,PRINCIPALĂ,
,2962105435,2961102147,967856,132271,132306,2962105435,PRAHOVA,,,442,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT PODENII VECHI," COMUNA BĂLȚEȘTI""",GRADINITA CU PROGRAM NORMAL SAT PODENII VECHI COMUNA BALTESTI,PODENII VECHI,PODENII VECHI
,2962104054,2961100317,640563,130614,130623,2962104054,PRAHOVA,,,25B,"""GRĂDINIȚA CU PROGRAM NORMAL NR. 1"," COMUNA BERCENI""",GRADINITA CU PROGRAM NORMAL NR 1 COMUNA BERCENI,BERCENI,CURCUBEULUI,
,2962106576,2961100118,638895,134443,134540,2962106576,PRAHOVA,,,108,"""ȘCOALA GIMNAZIALĂ", SAT VALEA DULCE," COMUNA PODENII NOI""",SCOALA GIMNAZIALA SAT VALEA DULCE COMUNA PODENII NOI,VALEA DULCE,PRINCIPALĂ
,2962103876,2961102875,639605,135501,135529,2962103876,PRAHOVA,,,133B,"""ȘCOALA PRIMARĂ", SAT LOPATNIȚA," COMUNA ȘOIMARI""",SCOALA PRIMARA SAT LOPATNITA COMUNA SOIMARI,LOPATNIŢA,PRINCIPALĂ
,2962103297,2961103035,1270341,131817,131826,2962103297,PRAHOVA,,,2,"""ȘCOALA PRIMARĂ NR. 2"," ORAȘUL VĂLENII DE MUNTE""",SCOALA PRIMARA NR 2 ORASUL VALENII DE MUNTE,VĂLENII DE MUNTE,DR. ISTRATE,
22640248,2961107161,,635881,130534,130543,2961107161,PRAHOVA,,,4,"""LICEUL TEHNOLOGIC DE SERVICII """"SFÂNTUL APOSTOL ANDREI"""""," MUNICIPIUL PLOIEȘTI""",LICEUL TEHNOLOGIC DE SERVICII SFANTUL APOSTOL ANDREI MUNICIPIUL PLOIESTI,PLOIEŞTI,Dediţel,
,2962105869,2961100059,642456,134050,134069,2962105869,PRAHOVA,,,981,"""GRĂDINIȚA CU PROGRAM NORMAL NR. 1"," COMUNA MĂGURENI""",GRADINITA CU PROGRAM NORMAL NR 1 COMUNA MAGURENI,MĂGURENI,PRINCIPALĂ,
,2962100968,2961107351,641971,132896,132903,2962100968,PRAHOVA,,,105,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT DRAJNA DE SUS," COMUNA DRAJNA""",GRADINITA CU PROGRAM NORMAL SAT DRAJNA DE SUS COMUNA DRAJNA,DRAJNA DE SUS,NEAGOE BASARAB
2843949,2961107125,,635312,130534,130543,2961107125,PRAHOVA,,,3,"""COLEGIUL NAȚIONAL """"NICHITA STĂNESCU"""""," MUNICIPIUL PLOIEȘTI""",COLEGIUL NATIONAL NICHITA STANESCU MUNICIPIUL PLOIESTI,PLOIEŞTI,Nalbei,
,2962104113,2961107021,638261,133562,133606,2962104113,PRAHOVA,,,36,"""ȘCOALA PRIMARĂ", SAT NUCET," COMUNA GORNET""",SCOALA PRIMARA SAT NUCET COMUNA GORNET,NUCET,NUCET
28994694,2961106992,,638390,133722,133786,2961106992,PRAHOVA,,,1,"""ȘCOALA GIMNAZIALĂ", SAT VĂRBILA," COMUNA IORDĂCHEANU""",SCOALA GIMNAZIALA SAT VARBILA COMUNA IORDACHEANU,VĂRBILA,PRINCIPALĂ
29055420,2961107021,,638235,133562,133571,2961107021,PRAHOVA,,,110,"""ȘCOALA GIMNAZIALĂ"," COMUNA GORNET""",SCOALA GIMNAZIALA COMUNA GORNET,GORNET,PRINCIPALĂ,
,2962103772,2961100213,638704,134194,134327,2962103772,PRAHOVA,,,297,"""ȘCOALA PRIMARĂ", SAT ZALHANAUA," COMUNA MĂNEȘTI""",SCOALA PRIMARA SAT ZALHANAUA COMUNA MANESTI,ZALHANAUA,PRINCIPALĂ
,2962100588,2961102527,643199,135949,135958,2962100588,PRAHOVA,,,179A,"""GRĂDINIȚA CU PROGRAM NORMAL """"VOINICEL"""" COMUNA VALEA CĂLUGĂREASCĂ""",GRADINITA CU PROGRAM NORMAL VOINICEL COMUNA VALEA CALUGAREASCA,VALEA CĂLUGĂREASCĂ,VALEA POPII,,
,2962104805,2961102441,642913,135244,135253,2962104805,PRAHOVA,,,84,"""GRĂDINIȚA CU PROGRAM NORMAL"," COMUNA SÎNGERU""",GRADINITA CU PROGRAM NORMAL COMUNA SINGERU,SÂNGERU,PRINCIPALĂ,
32044790,2961207186,,6935324,130981,130990,2961207186,PRAHOVA,,,141,"""ȘCOALA PRIMARĂ """"EDEN-PARADISUL COPIILOR"""" BĂICOI""",SCOALA PRIMARA EDEN PARADISUL COPIILOR BAICOI,BĂICOI,OLTULUI,,
,2962107595,2941102015,,130534,130543,2962107595,PRAHOVA,,,145,"""CENTRUL LOGOPEDIC DE PE LÂNGĂ ȘCOALA GIMNAZIALĂ """"SFÂNTUL VASILE"""" "," MUNICIPIUL PLOIEȘTI""",CENTRUL LOGOPEDIC DE PE LANGA SCOALA GIMNAZIALA SFANTUL VASILE MUNICIPIUL PLOIESTI,PLOIEŞTI,REPUBLICII,
,2962103582,2961102604,636782,131577,131586,2962103582,PRAHOVA,,,24,"""ȘCOALA GIMNAZIALĂ NR. 1"," ORAȘUL SLĂNIC""",SCOALA GIMNAZIALA NR 1 ORASUL SLANIC,SLĂNIC,ȘTEFAN CEL MARE,
,2962100475,2961102165,1194963,135431,135459,2962100475,PRAHOVA,,,55,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT BRĂTEȘTI," COMUNA ȘIRNA""",GRADINITA CU PROGRAM NORMAL SAT BRATESTI COMUNA SIRNA,BRĂTEŞTI,BRĂTEȘTI
,2962104746,2961102545,641517,132075,132084,2962104746,PRAHOVA,,,169,"""GRĂDINIȚA CU PROGRAM NORMAL"," COMUNA ARICEȘTII RAHTIVANI""",GRADINITA CU PROGRAM NORMAL COMUNA ARICESTII RAHTIVANI,ARICEŞTII RAHTIVANI,ARICEȘTII-RAHTIVANI,
,2962106237,2961102233,636263,130981,130990,2962106237,PRAHOVA,,,19,"""ȘCOALA GIMNAZIALĂ """"DUMITRU GHENOIU"""""," ORAȘUL BĂICOI""",SCOALA GIMNAZIALA DUMITRU GHENOIU ORASUL BAICOI,BĂICOI,UNIRII,
,2962106843,2961101639,639954,135949,136009,2962106843,PRAHOVA,,,16A,"""ȘCOALA GIMNAZIALĂ", SAT RACHIERI," COMUNA VALEA CĂLUGĂREASCĂ""",SCOALA GIMNAZIALA SAT RACHIERI COMUNA VALEA CALUGAREASCA,RACHIERI,RACHIERI
34086147,2961107609,,292121456,130534,130543,2961107609,PRAHOVA,,,98,CENTRUL JUDEŢEAN DE EXCELENŢĂ PRAHOVA,CENTRUL JUDETEAN DE EXCELENTA PRAHOVA,PLOIEŞTI,GHEORGHE DOJA,,
,2962103424,2961101734,641945,132805,132823,2962103424,PRAHOVA,,,217,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT CORNU DE SUS," COMUNA CORNU""",GRADINITA CU PROGRAM NORMAL SAT CORNU DE SUS COMUNA CORNU,CORNU DE SUS,MIHAI VITEAZUL
,2962106038,2961100181,639253,135020,135119,2962106038,PRAHOVA,,,1,"""ȘCOALA PRIMARĂ", SAT SICRITA," COMUNA RÎFOV""",SCOALA PRIMARA SAT SICRITA COMUNA RIFOV,SICRITA,PRINCIPALĂ
29168526,2961100068,,635817,130534,130543,2961100068,PRAHOVA,,,81,"""ȘCOALA GIMNAZIALĂ """"IOAN GRIGORESCU"""""," MUNICIPIUL PLOIEȘTI""",SCOALA GIMNAZIALA IOAN GRIGORESCU MUNICIPIUL PLOIESTI,PLOIEŞTI,IZVOARELE,
2844677,2961102839,,1182245,130534,130543,2961102839,PRAHOVA,,,8,"""COLEGIUL """"SPIRU HARET"""""," MUNICIPIUL PLOIEȘTI""",COLEGIUL SPIRU HARET MUNICIPIUL PLOIESTI,PLOIEŞTI,Constructorilor,
,2962103148,2961107342,1104217,131933,131979,2962103148,PRAHOVA,,,701,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT VADU PĂRULUI," COMUNA ALBEȘTI-PALEOLOGU""",GRADINITA CU PROGRAM NORMAL SAT VADU PARULUI COMUNA ALBESTI PALEOLOGU,VADU PĂRULUI,PRINCIPALĂ
,2962104027,2961101666,636354,131069,131087,2962104027,PRAHOVA,,,158,"""ȘCOALA PRIMARĂ SECIU"," ORAȘUL BOLDEȘTI-SCĂENI""",SCOALA PRIMARA SECIU ORASUL BOLDESTI SCAENI,SECIU,PRINCIPALĂ,
,2962106291,2961100059,642470,134050,134078,2962106291,PRAHOVA,,,244,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT COCORAȘTII CAPLI," COMUNA MĂGURENI""",GRADINITA CU PROGRAM NORMAL SAT COCORASTII CAPLI COMUNA MAGURENI,COCORĂŞTII CAPLII,PRINCIPALĂ
,2962105688,2961107306,641787,132574,132609,2962105688,PRAHOVA,,,1,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT VALEA BORULUI," COMUNA CERAȘU""",GRADINITA CU PROGRAM NORMAL SAT VALEA BORULUI COMUNA CERASU,VALEA BORULUI,PRINCIPALĂ
,2962101164,2941102015,2904119,130534,130543,2962101164,PRAHOVA,,,7,"""CABINETUL LOGOPEDIC NR. 2 DE PE LÂNGĂ COLEGIUL NAȚIONAL """"JEAN MONNET"""" PLOIEȘTI""",CABINETUL LOGOPEDIC NR 2 DE PE LANGA COLEGIUL NATIONAL JEAN MONNET PLOIESTI,PLOIEŞTI,NICOLAE IORGA,,
29188671,2961102694,,996792,130534,130543,2961102694,PRAHOVA,,,44,"""GRĂDINIȚA CU PROGRAM PRELUNGIT ȘI PROGRAM NORMAL """"CRAI NOU"""""," MUNICIPIUL PLOIEȘTI""",GRADINITA CU PROGRAM PRELUNGIT SI PROGRAM NORMAL CRAI NOU MUNICIPIUL PLOIESTI,PLOIEŞTI,Bobâlna,
,2942101181,2941102015,2904248,130534,130543,2942101181,PRAHOVA,,,26,CENTRUL JUDEȚEAN DE ASISTENȚĂ PSIHOPEDAGOGICĂ PRAHOVA,CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA PRAHOVA,PLOIEŞTI,BOBALNA,,
,2962105227,2961100109,640020,136134,136161,2962105227,PRAHOVA,,,52A,"""ȘCOALA PRIMARĂ", SAT LIVADEA," COMUNA VĂRBILĂU""",SCOALA PRIMARA SAT LIVADEA COMUNA VARBILAU,LIVADEA,LIVADEA
,2962103442,2961101571,642987,135315,135351,2962103442,PRAHOVA,,,201,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT GRESIA," COMUNA STARCHIOJD""",GRADINITA CU PROGRAM NORMAL SAT GRESIA COMUNA STARCHIOJD,GRESIA,GRESIA
,2962106522,2961102518,640604,130678,130696,2962106522,PRAHOVA,,,537,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT PLOIEȘTIORI," COMUNA BLEJOI""",GRADINITA CU PROGRAM NORMAL SAT PLOIESTIORI COMUNA BLEJOI,PLOIEŞTIORI,TELEAJEN
