COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,1262100606,1261103853,,56568,56611,1262100606,CLUJ,,,52,"""ȘCOALA PRIMARĂ DÂNGĂU MARE"," COM. CĂPUȘU MARE""",SCOALA PRIMARA DANGAU MARE COM CAPUSU MARE,DÂNGĂU MARE,
18006375,1261103401,,121266510,54975,54984,1261103401,CLUJ,,,3,"""LICEUL TEOLOGIC BAPTIST """"EMANUEL"""" CLUJ-NAPOCA""",LICEUL TEOLOGIC BAPTIST EMANUEL CLUJ NAPOCA,CLUJ-NAPOCA,11.oct,
27352530,1261202122,,,57706,57715,1261202122,CLUJ,,,10,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"DANIELA"""" FLORESTI"," COM. FLORESTI""",GRADINITA CU PROGRAM PRELUNGIT DANIELA FLORESTI COM FLORESTI,FLOREŞTI,Florilor
,1262104221,1261103039,,55446,55455,1262104221,CLUJ,,,178,ȘCOALA PRIMARĂ CETATEA VECHE II ORAȘ HUEDIN,SCOALA PRIMARA CETATEA VECHE II ORAS HUEDIN,HUEDIN,Horea,
27365475,1261201781,,,54975,54984,1261201781,CLUJ,,,32,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"ARY"""" CLUJ-NAPOCA""",GRADINITA CU PROGRAM PRELUNGIT ARY CLUJ NAPOCA,CLUJ-NAPOCA,Comşa Dimitrie,
18004471,1261104664,,120440157,59586,59595,1261104664,CLUJ,,,92,"""ȘCOALA GIMNAZIALĂ """"IOAN ALEXANDRU"""" SÂNPAUL"," COM. SÂNPAUL""",SCOALA GIMNAZIALA IOAN ALEXANDRU SANPAUL COM SANPAUL,SÂNPAUL,
18302885,1261104845,,120438556,55598,55605,1261104845,CLUJ,,,419,"""ȘCOALA PRIMARĂ AITON"," COM. AITON""",SCOALA PRIMARA AITON COM AITON,AITON,Principală
,1262100416,1261104881,,57582,57617,1262100416,CLUJ,,,,"""ȘCOALA GIMNAZIALĂ GHEORGHIENI"," COM. FELEACU""",SCOALA GIMNAZIALA GHEORGHIENI COM FELEACU,GHEORGHIENI,
4779010,1251103328,,121121021,55357,55366,1251103328,CLUJ,,,10,CLUBUL COPIILOR CÂMPIA TURZII,CLUBUL COPIILOR CAMPIA TURZII,CÂMPIA TURZII,Parcului,
18001378,1261103238,,120439471,57948,57957,1261103238,CLUJ,,,177,"""ȘCOALA GIMNAZIALĂ GÂRBĂU"," COM. GÂRBĂU""",SCOALA GIMNAZIALA GARBAU COM GARBAU,GÂRBĂU,
,1262104411,1261103315,,54975,54984,1262104411,CLUJ,,,12,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"ZÂNA ZORILOR"""" - STRUCTURA 2 CLUJ-NAPOCA""",GRADINITA CU PROGRAM PRELUNGIT ZANA ZORILOR  STRUCTURA 2 CLUJ NAPOCA,CLUJ-NAPOCA,Pasteur Louis,
,1262100814,1261102427,120438908,56425,56443,1262100814,CLUJ,,,79,"""ȘCOALA PRIMARĂ BOGATA"," COM. CĂLĂRAȘI""",SCOALA PRIMARA BOGATA COM CALARASI,BOGATA,
,1262105127,1261102549,120438520,55473,55561,1262105127,CLUJ,,,169,"""ȘCOALA PRIMARĂ MACĂU"," COM. AGHIREȘU""",SCOALA PRIMARA MACAU COM AGHIRESU,MACĂU,
18004498,1261102888,,120438180,56773,56782,1261102888,CLUJ,,,79,"""ȘCOALA GIMNAZIALĂ CĂTINA"," COM. CĂTINA""",SCOALA GIMNAZIALA CATINA COM CATINA,CĂTINA,
4924063,1261103681,,121232612,54975,54984,1261103681,CLUJ,,,16,"""ȘCOALA GIMNAZIALĂ """"OCTAVIAN GOGA"""" CLUJ-NAPOCA""",SCOALA GIMNAZIALA OCTAVIAN GOGA CLUJ NAPOCA,CLUJ-NAPOCA,Peana,
17989994,1261102332,,120444103,55259,55268,1261102332,CLUJ,,,16,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"POIANA CU CASTANI"""" TURDA""",GRADINITA CU PROGRAM PRELUNGIT POIANA CU CASTANI TURDA,TURDA,Basarabiei,
18001343,1261100303,,120439574,58259,58268,1261100303,CLUJ,,,463,"""ȘCOALA GIMNAZIALĂ """"GEORGE BARIȚIU"""" JUCU DE SUS"," COM. JUCU""",SCOALA GIMNAZIALA GEORGE BARITIU JUCU DE SUS COM JUCU,JUCU DE SUS,
