COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
16129134,2761202261,,274183795,120860,120879,2761202261,NEAMŢ,,,4,"""GRĂDINIȚA PARTICULARĂ CU PROGRAM PRELUNGIT """"EPISCOP MELCHISEDEC"""""," MUNICIPIUL ROMAN""",GRADINITA PARTICULARA CU PROGRAM PRELUNGIT EPISCOP MELCHISEDEC MUNICIPIUL ROMAN,ROMAN,ALEXANDRU CEL BUN,
18117950,2761101823,,623319,124849,124858,2761101823,NEAMŢ,,,65,"""ȘCOALA GIMNAZIALĂ"," COMUNA URECHENI""",SCOALA GIMNAZIALA COMUNA URECHENI,URECHENI,PRINCIPALĂ,
18148760,2761102634,,270615271,121242,121251,2761102634,NEAMŢ,,,401,"""ȘCOALA GIMNAZIALĂ"," COMUNA BĂLȚĂTEȘTI""",SCOALA GIMNAZIALA COMUNA BALTATESTI,BĂLŢĂTEŞTI,str. slt. Mihai Oprea,
,2762100677,2761101782,,124885,124929,2762100677,NEAMŢ,,,7,"""ȘCOALA PRIMARĂ MUNCELU DE JOS"," COMUNA VALEA URSULUI""",SCOALA PRIMARA MUNCELU DE JOS COMUNA VALEA URSULUI,MUNCELU DE JOS,PRINCIPALĂ,
,2762100908,2761102792,,123424,123433,2762100908,NEAMŢ,,,450,"""ȘCOALA PRIMARĂ NR. 2"," COMUNA PETRICANI""",SCOALA PRIMARA NR 2 COMUNA PETRICANI,PETRICANI,ŞCOLII,
2613621,2761102186,,1069687,120922,120931,2761102186,NEAMŢ,,,,"""LICEUL TEHNOLOGIC """"ION IONESCU DE LA BRAD"""""," COMUNA HORIA""",LICEUL TEHNOLOGIC ION IONESCU DE LA BRAD COMUNA HORIA,HORIA,ALEXANDRU CEL BUN,
,2762100451,2761100026,,124073,124108,2762100451,NEAMŢ,,,810,"""ȘCOALA GIMNAZIALĂ NR. 2", SAT SILIŞTEA," COMUNA ROMÂNI""",SCOALA GIMNAZIALA NR 2 SAT SILISTEA COMUNA ROMANI,SILIŞTEA,PRINCIPALĂ
,2762101488,2761102417,,120726,120735,2762101488,NEAMŢ,,,,"""GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 12"," MUNICIPIUL PIATRA-NEAMT""",GRADINITA CU PROGRAM PRELUNGIT NR 12 MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,CONSTANTIN MATASE,
17150347,2761101728,,616794,125132,121956,2761101728,NEAMŢ,,,10,"""ȘCOALA GIMNAZIALĂ"," COMUNA DRĂGĂNEȘTI""",SCOALA GIMNAZIALA COMUNA DRAGANESTI,DRĂGĂNEŞTI,PRINCIPALA,
2613567,2721100051,,612413,120726,120735,2721100051,NEAMŢ,,,4A,INSPECTORATUL ȘCOLAR JUDEȚEAN NEAMȚ,INSPECTORATUL SCOLAR JUDETEAN NEAMT,PIATRA-NEAMŢ,LT. DRAGHIESCU,,
,2762103341,2761102272,620953,123790,123825,2762103341,NEAMŢ,,,39,"""ȘCOALA GIMNAZIALĂ """"CONSTANTIN ROMANESCU""""", SAT DREPTU," COMUNA POIANA TEIULUI""",SCOALA GIMNAZIALA CONSTANTIN ROMANESCU SAT DREPTU COMUNA POIANA TEIULUI,DREPTU,PRINCIPALĂ
